subject_id,academic_over_social,age,anxious,bookish,books_over_parties,calm,collect_books,conventional,critical,dependable,diagnosed_autistic,disorganized,education,engnat,enjoy_learning,excited_about_research,extraverted,familysize,gender,hand,hobbies_over_people,in_advanced_classes,intelligence_over_appearance,interested_science,introspective,libraries_over_publicspace,like_dry_topics,like_hard_material,like_science_fiction,like_superheroes,major,married,online_over_inperson,opennness,play_many_videogames,playes_rpgs,prefer_fictional_people,race_arab,race_asian,race_black,race_hispanic,race_native_american,race_native_austrailian,race_nerdy,race_white,read_tech_reports,religion,reserved,socially_awkward,strange_person,sympathetic,urban,voted,was_odd_child,watch_science_shows,writing_novel
1108,3.0,19.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,Management,1.0,4.0,5.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0
1110,5.0,63.0,7.0,5.0,5.0,1.0,4.0,2.0,6.0,6.0,2.0,7.0,4.0,1.0,3.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,history,1.0,4.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,7.0,4.0,5.0,3.0,3.0,2.0,5.0,1.0,1.0
1111,5.0,60.0,2.0,4.0,5.0,6.0,4.0,3.0,2.0,6.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,5.0,1.0,5.0,5.0,5.0,Economics,2.0,2.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0,5.0,4.0,5.0,3.0,1.0,4.0,5.0,1.0
1112,4.0,49.0,2.0,4.0,5.0,6.0,4.0,3.0,5.0,6.0,2.0,3.0,4.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,business,3.0,4.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,6.0,5.0,5.0,6.0,2.0,2.0,4.0,4.0,2.0
1116,4.0,17.0,5.0,3.0,4.0,1.0,3.0,3.0,6.0,6.0,2.0,5.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,2.0,missing,1.0,5.0,5.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,5.0,4.0,1.0,1.0,2.0,5.0,4.0,2.0
1117,3.0,52.0,2.0,1.0,4.0,3.0,4.0,6.0,5.0,3.0,2.0,3.0,3.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,Economics,2.0,2.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12.0,3.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0
1119,4.0,50.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,6.0,4.0,1.0,5.0,3.0,6.0,3.0,1.0,1.0,5.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,5.0,4.0,library and information sciences,2.0,3.0,6.0,5.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,2.0
1121,3.0,15.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,6.0,2.0,6.0,2.0,1.0,1.0,3.0,6.0,2.0,2.0,1.0,5.0,4.0,4.0,5.0,5.0,1.0,4.0,5.0,3.0,1.0,missing,1.0,3.0,7.0,5.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,6.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0
1124,3.0,44.0,6.0,4.0,3.0,7.0,3.0,1.0,2.0,6.0,2.0,3.0,2.0,1.0,1.0,3.0,5.0,2.0,2.0,1.0,2.0,5.0,3.0,4.0,3.0,5.0,4.0,1.0,5.0,1.0,missing,2.0,5.0,6.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,5.0,4.0,5.0,7.0,1.0,1.0,4.0,5.0,2.0
1125,5.0,55.0,5.0,5.0,4.0,5.0,5.0,1.0,2.0,3.0,2.0,5.0,4.0,1.0,4.0,4.0,5.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,5.0,3.0,4.0,music+ADs- theology,2.0,4.0,7.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,6.0,4.0,5.0,6.0,3.0,1.0,5.0,5.0,1.0
1127,4.0,35.0,6.0,5.0,5.0,2.0,4.0,6.0,5.0,2.0,2.0,7.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,Geology,2.0,5.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,6.0,4.0,4.0,5.0,2.0,2.0,4.0,5.0,1.0
1128,4.0,48.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,7.0,2.0,5.0,4.0,1.0,4.0,2.0,4.0,3.0,2.0,1.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,2.0,neuroscience,2.0,4.0,7.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,5.0,5.0,6.0,2.0,1.0,5.0,5.0,3.0
1129,5.0,35.0,1.0,3.0,5.0,7.0,5.0,2.0,1.0,3.0,2.0,7.0,4.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,math,2.0,3.0,6.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,3.0
1130,3.0,15.0,4.0,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,missing,1.0,4.0,7.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0
1132,2.0,15.0,2.0,3.0,2.0,6.0,4.0,7.0,3.0,6.0,2.0,2.0,1.0,2.0,2.0,5.0,6.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,4.0,missing,1.0,2.0,6.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0
1133,4.0,47.0,5.0,4.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,1.0,Art,2.0,3.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,6.0,4.0,5.0,5.0,2.0,2.0,0.0,1.0,1.0
1135,5.0,51.0,6.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,7.0,4.0,1.0,3.0,5.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,4.0,1.0,4.0,3.0,5.0,5.0,3.0,English/philosophy/law,1.0,3.0,7.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,7.0,5.0,5.0,7.0,2.0,1.0,5.0,5.0,1.0
1136,4.0,15.0,7.0,5.0,4.0,3.0,3.0,4.0,3.0,6.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,missing,1.0,5.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,4.0,4.0,6.0,2.0,2.0,4.0,3.0,2.0
1137,5.0,52.0,5.0,4.0,5.0,4.0,5.0,3.0,1.0,5.0,2.0,4.0,4.0,1.0,4.0,5.0,3.0,2.0,2.0,1.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,Anthropology,2.0,3.0,7.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,7.0,1.0,2.0,4.0,4.0,2.0
1138,3.0,29.0,5.0,3.0,5.0,7.0,4.0,1.0,6.0,7.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,4.0,5.0,3.0,4.0,1.0,4.0,2.0,4.0,missing,2.0,5.0,6.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,5.0,1.0
1140,5.0,51.0,3.0,4.0,5.0,6.0,5.0,2.0,5.0,6.0,2.0,2.0,3.0,1.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,5.0,4.0,4.0,Math,1.0,4.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,6.0,5.0,5.0,6.0,2.0,1.0,4.0,5.0,1.0
1141,4.0,19.0,2.0,4.0,4.0,4.0,4.0,1.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,4.0,Computer Engineering,1.0,4.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,6.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0
1143,5.0,21.0,1.0,5.0,0.0,7.0,5.0,3.0,2.0,6.0,2.0,5.0,3.0,1.0,4.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Economics and History (double major),1.0,5.0,7.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0,5.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0
1149,4.0,44.0,6.0,4.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,psychology,2.0,4.0,5.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0
1150,3.0,20.0,3.0,3.0,3.0,2.0,2.0,2.0,6.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,4.0,1.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,Computer Sciences,1.0,5.0,6.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,4.0,4.0,4.0,1.0,1.0,5.0,5.0,3.0
1156,5.0,26.0,5.0,4.0,5.0,4.0,5.0,2.0,2.0,6.0,2.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,1.0,Biology,1.0,2.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,5.0,1.0
1157,3.0,63.0,5.0,4.0,4.0,6.0,4.0,2.0,1.0,6.0,2.0,6.0,3.0,1.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,nursing,3.0,3.0,5.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,5.0,4.0,4.0,6.0,1.0,2.0,4.0,3.0,1.0
1160,1.0,16.0,6.0,1.0,4.0,4.0,2.0,3.0,2.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,missing,1.0,1.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,7.0,1.0,1.0,5.0,3.0,2.0,1.0,3.0,1.0
1162,5.0,57.0,5.0,5.0,5.0,4.0,4.0,1.0,7.0,6.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,Biology,2.0,1.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,5.0,4.0,7.0,3.0,2.0,4.0,5.0,1.0
1163,3.0,22.0,6.0,2.0,4.0,3.0,5.0,4.0,4.0,6.0,2.0,5.0,2.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,Physics,1.0,3.0,7.0,5.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,4.0,4.0,7.0,2.0,2.0,1.0,5.0,2.0
1164,5.0,25.0,5.0,3.0,4.0,6.0,2.0,2.0,5.0,5.0,2.0,6.0,3.0,1.0,3.0,5.0,6.0,3.0,2.0,1.0,1.0,2.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,geography,1.0,4.0,7.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,3.0,5.0,6.0,2.0,2.0,2.0,4.0,3.0
1165,5.0,49.0,1.0,4.0,5.0,7.0,4.0,3.0,1.0,6.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,2.0,Political Science,2.0,3.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,7.0,5.0,5.0,7.0,2.0,1.0,4.0,5.0,1.0
1166,4.0,29.0,5.0,1.0,4.0,4.0,4.0,5.0,6.0,3.0,2.0,2.0,3.0,2.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,missing,1.0,1.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,6.0,3.0,3.0,6.0,3.0,1.0,2.0,4.0,4.0
1168,4.0,19.0,7.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,2.0,3.0,1.0,1.0,3.0,5.0,1.0,3.0,2.0,1.0,3.0,5.0,4.0,3.0,5.0,3.0,5.0,2.0,4.0,3.0,missing,1.0,5.0,6.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,7.0,4.0,5.0,4.0,1.0,2.0,4.0,4.0,3.0
1170,3.0,44.0,2.0,3.0,4.0,5.0,2.0,2.0,5.0,5.0,2.0,6.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,Sociology,1.0,3.0,5.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,5.0,4.0,4.0,5.0,2.0,1.0,2.0,4.0,2.0
1171,3.0,34.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,5.0,6.0,4.0,1.0,1.0,5.0,5.0,2.0,4.0,2.0,5.0,5.0,1.0,4.0,4.0,Political Science,1.0,5.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,5.0,4.0,6.0,1.0,2.0,4.0,5.0,3.0
1173,5.0,26.0,7.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,missing,1.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,6.0,4.0,5.0,6.0,1.0,1.0,4.0,5.0,4.0
1175,4.0,36.0,6.0,3.0,3.0,5.0,4.0,5.0,5.0,7.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,chemistry,2.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,6.0,4.0,4.0,6.0,2.0,2.0,3.0,5.0,3.0
1176,4.0,56.0,2.0,3.0,4.0,7.0,4.0,6.0,2.0,4.0,2.0,5.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,Electrical Engineering,2.0,3.0,6.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,4.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,3.0
1177,3.0,66.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,communications,2.0,3.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0
1180,5.0,15.0,3.0,4.0,5.0,5.0,5.0,3.0,6.0,3.0,2.0,6.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,missing,1.0,4.0,6.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,3.0
1183,1.0,22.0,3.0,3.0,3.0,3.0,4.0,6.0,2.0,1.0,2.0,6.0,2.0,2.0,3.0,5.0,2.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,1.0,5.0,3.0,missing,1.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,6.0,4.0,4.0,4.0,3.0,1.0,3.0,2.0,4.0
1185,4.0,33.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,7.0,3.0,1.0,1.0,5.0,6.0,4.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,4.0,Physics,2.0,1.0,7.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,5.0,5.0,6.0,1.0,2.0,2.0,5.0,4.0
1186,4.0,22.0,4.0,5.0,5.0,0.0,4.0,0.0,5.0,6.0,2.0,0.0,2.0,1.0,5.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,English/History,1.0,4.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,4.0,4.0,0.0,2.0,2.0,4.0,4.0,1.0
1187,5.0,52.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,6.0,2.0,3.0,3.0,1.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,English,2.0,5.0,6.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,7.0,5.0,5.0,7.0,2.0,2.0,4.0,5.0,2.0
1189,5.0,35.0,2.0,4.0,5.0,7.0,5.0,3.0,1.0,6.0,2.0,2.0,4.0,1.0,5.0,5.0,6.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,Philosophy,3.0,4.0,5.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,5.0,5.0,4.0,6.0,1.0,2.0,3.0,4.0,1.0
